"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","GNLY","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","GNLY","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","GPR155","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","GPR183","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","GPR183","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","GZMB","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","GZMB","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Plasmacytoid dendritic cell","GZMB","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","GZMH","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD8+ T cell","GZMK","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","HAPLN3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","HPGD","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Pro-Natural killer cell (pro-NK cell)","ID2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","IGF1R","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","IKZF2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","IL10RA","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD4+ T cell","IL2RA","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","IL2RA","Single-cell sequencing","2","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Dendritic cell","IL3RA","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Memory CD4+ T cell","IL7R","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","IL7R","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","ISG20","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","ITFG2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","ITGAM","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","KCNAB2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","KLRB1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","KLRC1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","KLRD1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","KLRD1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","KLRF1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","KLRF1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","KLRK1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","LDHB","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","LDLRAP1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","LDLRAP1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","LEF1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","LEF1-AS1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","LGALS1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","LILRB1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","LINC01550","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","LITAF","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","LLGL2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","LMNA","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","LMO7","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","LPCAT1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","LRRC75A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","LRRC75A-AS1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","LRRC75A-AS1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","LRRN3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","LRRN3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","LUZP6","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","MAL","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","MAL","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","MAML2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","MBP","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Cancer cell","Cancer cell","MCAM","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","METTL7A","Single-cell sequencing","1","DETAIL"
